location,program,degree,period,period_sort,count
Atlanta,Acting,BFA,Winter 2012,20111,1
Atlanta,Acting,BFA,Spring 2012,20112,1
Atlanta,Acting,BFA,Fall 2012,20120,1
Atlanta,Acting,BFA,Winter 2013,20121,1
Atlanta,Acting,BFA,Spring 2013,20122,1
Atlanta,Acting,BFA,Summer 2013,20123,2
Atlanta,Acting,BFA,Fall 2013,20130,1
Atlanta,Acting,BFA,Winter 2014,20131,1
Atlanta,Acting,BFA,Fall 2014,20140,2
Atlanta,Acting,BFA,Winter 2015,20141,1
Atlanta,Acting,BFA,Spring 2015,20142,1
Atlanta,Acting,BFA,Summer 2015,20143,1
Atlanta,Acting,BFA,Spring 2016,20152,1
Atlanta,Acting,BFA,Summer 2016,20153,1
Atlanta,Acting,BFA,Winter 2017,20161,1
Atlanta,Acting,BFA,Summer 2017,20163,1
Atlanta,Acting,BFA,Spring 2018,20172,15
Atlanta,Acting,BFA,Fall 2018,20180,2
Atlanta,Acting,BFA,Winter 2019,20181,3
Atlanta,Acting,BFA,Spring 2019,20182,4
Atlanta,Acting,BFA,Summer 2019,20183,3
Atlanta,Acting,BFA,Fall 2019,20190,3
Atlanta,Acting,BFA,Winter 2020,20191,3
Atlanta,Acting,BFA,Spring 2020,20192,1
Atlanta,Acting,BFA,Summer 2020,20193,1
Atlanta,Acting,BFA,Winter 2021,20201,2
Atlanta,Acting,BFA,Spring 2021,20202,3
Atlanta,Acting,BFA,Summer 2021,20203,1
Atlanta,Acting,BFA,Spring 2022,20212,2
Atlanta,Acting,BFA,Winter 2023,20221,2
Atlanta,Acting,BFA,Spring 2023,20222,1
Atlanta,Acting,BFA,Summer 2023,20223,2
Atlanta,Acting,BFA,Fall 2023,20230,20
Atlanta,Acting,BFA,Winter 2024,20231,47
Atlanta,Acting,BFA,Spring 2024,20232,42
Atlanta,Acting,BFA,Summer 2024,20233,12
Atlanta,Acting,BFA,Fall 2024,20240,61
Atlanta,Acting,BFA,Winter 2025,20241,93
Atlanta,Acting,BFA,Spring 2025,20242,91
Atlanta,Acting,BFA,Summer 2025,20243,26
Atlanta,Acting,BFA,Fall 2025,20250,92
Atlanta,Acting,BFA,Winter 2026,20251,129
Atlanta,Advertising and Branding,BA,Fall 2022,20220,4
Atlanta,Advertising and Branding,BA,Winter 2023,20221,4
Atlanta,Advertising and Branding,BA,Spring 2023,20222,5
Atlanta,Advertising and Branding,BA,Summer 2023,20223,5
Atlanta,Advertising and Branding,BA,Fall 2023,20230,8
Atlanta,Advertising and Branding,BA,Winter 2024,20231,7
Atlanta,Advertising and Branding,BA,Spring 2024,20232,6
Atlanta,Advertising and Branding,BA,Summer 2024,20233,2
Atlanta,Advertising and Branding,BA,Fall 2024,20240,8
Atlanta,Advertising and Branding,BA,Winter 2025,20241,11
Atlanta,Advertising and Branding,BA,Spring 2025,20242,15
Atlanta,Advertising and Branding,BA,Summer 2025,20243,3
Atlanta,Advertising and Branding,BA,Fall 2025,20250,17
Atlanta,Advertising and Branding,BA,Winter 2026,20251,21
Atlanta,Advertising and Branding,BFA,Fall 2010,20100,49
Atlanta,Advertising and Branding,BFA,Winter 2011,20101,57
